챔피언,플레이수,평점,승률,게임당 픽률,게임당 밴률,CS,골드
이즈리얼,"2,145,527",2.46:1,48.75%,59.14%,15.93%,,"11,525"
사일러스,"1,757,228",2.05:1,,52.41%,50.28%,146.32,"10,500"
카이사,"1,661,420",2.56:1,50.11%,42.86%,4.35%,,"12,799"
미스 포츈,"1,626,719",2.37:1,51.15%,49.70%,,139.17,"10,835"
시비르,"1,441,622",2.64:1,52.68%,46.59%,118.89%,,"12,047"
애쉬,"1,413,523",2.33:1,50.42%,40.50%,28.61%,88.26,"9,325"
리 신,"1,351,700",2.65:1,46.27%,46.21%,44.07%,142.12,"11,069"
요네,"1,215,223",1.71:1,48.27%,33.96%,23.37%,182.65,"11,449"
럭스,"1,202,108",2.41:1,50.01%,40.34%,20.09%,66.31,"9,061"
케인,"1,184,538",2.45:1,51.54%,35.84%,42.69%,162.99,"11,861"
아무무,"1,131,967",2.29:1,52.66%,31.41%,39.44%,63.94,"8,466"
루시안,"1,125,726",2.34:1,49.01%,30.53%,20.38%,192.05,"12,178"
케이틀린,"1,099,152",2.28:1,49.25%,32.60%,8.67%,185.97,"11,877"
아트록스,"1,090,925",1.94:1,50.58%,28.30%,34.61%,167.41,"10,710"
사미라,"1,078,632",2.38:1,50.78%,34.02%,80.28%,184.79,"12,660"
야스오,"1,014,222",1.63:1,48.19%,31.05%,42.99%,190.96,"11,635"
아칼리,"1,010,605",2.26:1,48.72%,27.27%,28.13%,149.54,"10,662"
유미,"972,359",4.17:1,47.20%,27.03%,28.71%,7.18,"7,468"
이렐리아,"943,840",1.67:1,49.98%,28.55%,55.32%,207.74,"12,359"
진,"935,018",3.07:1,50.75%,23.31%,1.80%,180.16,"11,742"
제드,"885,433",2.43:1,51.15%,27.61%,125.95%,167.49,"11,715"
다이애나,"856,175",2.5:1,50.95%,21.29%,8.79%,173.26,"11,873"
마스터 이,"833,934",2.16:1,51.80%,27.35%,78.64%,156.14,"12,226"
제라스,"829,578",2.64:1,51.78%,22.26%,35.39%,75.03,"9,836"
그레이브즈,"797,698",2.5:1,49.70%,20.87%,19.88%,185.78,"12,439"
블리츠크랭크,"790,755",2.42:1,50.10%,23.98%,67.70%,32.48,"7,450"
아리,"789,724",2.44:1,49.34%,20.67%,9.03%,161.41,"10,415"
빅토르,"788,942",2.21:1,51.92%,18.12%,19.11%,188.33,"11,606"
베인,"785,653",1.87:1,49.71%,25.38%,36.84%,177.03,"11,917"
노틸러스,"766,973",2.32:1,50.08%,23.58%,46.07%,33.96,"7,344"
다리우스,"761,095",1.8:1,50.40%,24.61%,89.28%,175.41,"11,405"
비에고,"734,334",2.43:1,49.08%,17.87%,8.57%,152.31,"11,408"
룰루,"728,225",2.96:1,49.40%,16.61%,6.18%,18.05,"7,397"
레넥톤,"715,528",1.84:1,49.59%,16.94%,11.35%,180.48,"11,367"
모르가나,"709,433",2.51:1,50.40%,20.84%,29.72%,51.91,"8,680"
우디르,"679,657",2.2:1,49.30%,16.06%,31.06%,157.55,"10,496"
탈론,"614,577",2.34:1,49.93%,15.94%,9.90%,167.25,"12,340"
르블랑,"609,234",2.76:1,48.49%,16.91%,43.83%,135.36,"10,633"
벡스,"605,263",2.41:1,51.47%,16.35%,28.13%,153.49,"10,591"
파이크,"596,066",2.28:1,49.98%,16.91%,31.95%,40.74,"9,016"
세트,"593,822",1.82:1,50.46%,16.86%,6.53%,148.97,"10,634"
징크스,"591,757",2.31:1,48.56%,13.97%,0.64%,188.77,"11,804"
레오나,"585,593",2.39:1,50.77%,16.47%,25.32%,33.6,"7,353"
