year,temp,min,max
1922,13.9,-9.2,33.4
1923,13.4,-12.5,33.6
1924,13.3,-9.5,34.5
1925,13.4,-9.5,32.6
1926,13,-8.7,32.1
1927,13.4,-9.7,32.9
1928,13.5,-9.3,34
1929,13.8,-10.2,35.3
1930,14.2,-8.4,33.3
1931,13.6,-12.4,33.3
1932,13.7,-7.5,34.7
1933,13.7,-12,33.2
1934,12.9,-9.9,31.6
1935,13.7,-7.9,34
1936,12.5,-12.4,30.5
1937,14.1,-8.7,34.1
1938,13.6,-10.4,33.3
1939,14.1,-11,33.8
1940,13.8,-9.2,32
1941,13.8,-10.4,32.2
1942,13.8,-10.4,34.2
1943,13.8,-12.4,33.4
1944,13.7,-7.7,36
1945,13.2,-10.3,34
1946,14,-7.8,32.8
1947,12.6,-10.8,32.5
1948,14.3,-9.3,32.6
1949,13.7,-9.2,33.5
1950,14,-8.5,35.7
1951,14.1,-10.6,34.6
1952,13.6,-9.5,32.1
1953,13.9,-9.3,33.5
1954,14.1,-5.8,32.9
1955,14.1,-10.5,31.6
1956,12.8,-8.7,33.1
1957,13.4,-10.8,30.5
1958,14.2,-9.6,33
1959,14.6,-10.8,32
1960,14.6,-11.8,33.6
1961,14.8,-9.4,32.3
1962,14,-6.1,30.9
1963,13.2,-12.4,31.1
1964,14.6,-8.5,34.6
1965,13.6,-9.7,31.3
1966,14,-10.9,34.9
1967,14,-12.2,34.2
1968,13.7,-8.4,32.5
1969,13.4,-9.8,31.8
1970,13.5,-12.1,31.4
1971,13.9,-9.5,32.8
1972,14.1,-6.2,32.5
1973,14.5,-10.3,32.8
1974,13.6,-10.5,30.8
1975,14.5,-6.8,33.6
1976,13.7,-11.5,31.8
1977,14.2,-12.6,33.9
1978,14.9,-8.5,33.4
1979,14.8,-8.6,34
1980,13.3,-10.2,31.3
1981,13.6,-10.7,32.6
1982,14.4,-10.4,31.8
1983,14.3,-7.8,36.7
1984,13.9,-11.8,34.7
1985,14.2,-11.5,33.9
1986,13.7,-9.7,32.9
1987,14.3,-9.5,31.1
1988,14.2,-9,33.1
1989,14.9,-7.4,33
1990,15.5,-10.4,34.3
1991,14.4,-10.8,33.3
1992,14.8,-4.5,32.6
1993,14,-6.3,30.7
1994,15.6,-6.9,35.8
1995,14.5,-6.7,32.8
1996,14.5,-9.5,34.9
1997,15.2,-8.9,34.1
1998,15.8,-8.1,32.3
1999,15,-7.3,32.2
2000,14.9,-7.1,33.1
2001,15.3,-10.3,34.5
2002,14.7,-6.2,33.4
2003,14.3,-8.7,31
2004,14.9,-10.5,34.1
2005,13.8,-10.6,32.8
2006,14.7,-9.6,34.5
2007,15.3,-3.6,32.6
2008,15,-6.1,31.4
2009,15.2,-7.6,32.5
2010,14.9,-8.1,34.1
2011,14.6,-12.8,33
2012,14.5,-9.9,34.5
2013,15.3,-10.7,35
2014,15.1,-6,32.9
2015,15.4,-7.8,33.5
2016,15.7,-10.2,37.3
2017,15.2,-7.7,36.2
2018,15.1,-9.9,36.4
2019,15.7,-4.4,35
2020,15.2,-8,33.2
2021,15.7,-12.2,35.6
2022,,-7.5,33.1
